,ddg_ij,D_norm,ROT_i,ROT_j,q_i,q_j,a_ij
0,aa,0.00037779478210302593,a,a,0.8053504021007712,0.8053504021007712,8.314115042577221
1,ab,0.00040702319470129454,a,b,0.8053504021007712,0.8053504021007712,8.239596013024627
2,ac,0.00043894162174375667,a,c,0.8053504021007712,0.8053504021007712,8.164099762131478
3,ad,0.0004662322726881079,a,d,0.8053504021007712,0.8053504021007712,8.103782237090522
4,ae,0.000451951717862469,a,e,0.8053504021007712,0.8053504021007712,8.134890831043112
5,af,0.0005010056864961769,a,f,0.8053504021007712,0.8053504021007712,8.031848734969236
6,ag,0.0005212406824507092,a,g,0.8053504021007712,0.8053504021007712,7.992254288722535
7,ah,0.0004623573979594705,a,h,0.8053504021007712,0.8053504021007712,8.112128005608334
8,ai,0.0006178572967754729,a,i,0.8053504021007712,0.8053504021007712,7.822208666854449
9,aj,0.0005855952944879454,a,j,0.8053504021007712,0.8053504021007712,7.875837259035584
10,ba,0.0004070231947012945,b,a,0.051698670605613,0.051698670605613,13.731286807553168
11,bb,0.00037955578192312017,b,b,0.051698670605613,0.051698670605613,13.801155406836271
12,bc,0.00045409047036219276,b,c,0.051698670605613,0.051698670605613,13.621860528695525
13,bd,0.0004499064351976614,b,d,0.051698670605613,0.051698670605613,13.631117341447336
14,be,0.0004678175400557617,b,e,0.051698670605613,0.051698670605613,13.592078632587794
15,bf,0.0004886545567682703,b,f,0.051698670605613,0.051698670605613,13.548501168849619
16,bg,0.0005289383310443017,b,g,0.051698670605613,0.051698670605613,13.469285132223064
17,bh,0.00045868638479700354,b,h,0.051698670605613,0.051698670605613,13.61179026179912
18,bi,0.0006096350173289555,b,i,0.051698670605613,0.051698670605613,13.327296534962427
19,bj,0.0005793259107284803,b,j,0.051698670605613,0.051698670605613,13.378291776056228
20,ca,0.00043894162174375656,c,a,0.043984900705727886,0.043984900705727886,13.978961873289572
21,cb,0.00045409047036219265,c,b,0.043984900705727886,0.043984900705727886,13.945031845325078
22,cc,0.0004105416627877079,c,c,0.043984900705727886,0.043984900705727886,14.045850880913413
23,cd,0.00045004709669984184,c,d,0.043984900705727886,0.043984900705727886,13.953976060818608
24,ce,0.0004965182604976507,c,e,0.043984900705727886,0.043984900705727886,13.85570803618622
25,cf,0.0005231516539674093,c,f,0.043984900705727886,0.043984900705727886,13.80345690606266
26,cg,0.000499676335267357,c,g,0.043984900705727886,0.043984900705727886,13.849367738090825
27,ch,0.0004649893563107007,c,h,0.043984900705727886,0.043984900705727886,13.921313781768573
28,ci,0.0006574800794286258,c,i,0.043984900705727886,0.043984900705727886,13.574913831293564
29,cj,0.0006235101561431771,c,j,0.043984900705727886,0.043984900705727886,13.627963243529624
30,da,0.0004662322726881078,d,a,0.0218283275890366,0.0218283275890366,15.319920052826822
31,db,0.0004499064351976614,d,b,0.0218283275890366,0.0218283275890366,15.355564362655095
32,dc,0.00045004709669984184,d,c,0.0218283275890366,0.0218283275890366,15.355251765396813
33,dd,0.00043172224261191195,d,d,0.0218283275890366,0.0218283275890366,15.396821577475954
34,de,0.0005205521417559554,d,e,0.0218283275890366,0.0218283275890366,15.209713942695785
35,df,0.0005258457174690444,d,f,0.0218283275890366,0.0218283275890366,15.19959614510115
36,dg,0.0005211070113476993,d,g,0.0218283275890366,0.0218283275890366,15.208648585294428
37,dh,0.00046872904766142865,d,h,0.0218283275890366,0.0218283275890366,15.31457912405442
38,di,0.0006538879345815701,d,i,0.0218283275890366,0.0218283275890366,14.981668019094116
39,dj,0.0006162998154356119,d,j,0.0218283275890366,0.0218283275890366,15.04087044352127
40,ea,0.000451951717862469,e,a,0.05727884457574265,0.05727884457574265,13.421583058818065
41,eb,0.0004678175400557616,e,b,0.05727884457574265,0.05727884457574265,13.387080065834207
42,ec,0.0004965182604976508,e,c,0.05727884457574265,0.05727884457574265,13.32753815280308
43,ed,0.0005205521417559555,e,d,0.05727884457574265,0.05727884457574265,13.280268354734437
44,ee,0.00033241077373235965,e,e,0.05727884457574265,0.05727884457574265,13.728786939649831
45,ef,0.00040510078628960334,e,f,0.05727884457574265,0.05727884457574265,13.53102252287309
46,eg,0.00045172175420196096,e,g,0.05727884457574265,0.05727884457574265,13.422092011825054
47,eh,0.00042839406684534254,e,h,0.05727884457574265,0.05727884457574265,13.475114925146082
48,ei,0.0004990359038006748,e,i,0.05727884457574265,0.05727884457574265,13.322480369388916
49,ej,0.000496764343940065,e,j,0.05727884457574265,0.05727884457574265,13.32704265747003
50,fa,0.0005010056864961771,f,a,0.002133595929755457,0.002133595929755457,19.89878609222597
51,fb,0.0004886545567682703,f,b,0.002133595929755457,0.002133595929755457,19.923747731577812
52,fc,0.0005231516539674093,f,c,0.002133595929755457,0.002133595929755457,19.855532152161302
53,fd,0.0005258457174690444,f,d,0.002133595929755457,0.002133595929755457,19.850395686621585
54,fe,0.0004051007862896033,f,e,0.002133595929755457,0.002133595929755457,20.111267652354872
55,ff,0.00035342019309055354,f,f,0.002133595929755457,0.002133595929755457,20.247745845809742
56,fg,0.00045286420849300485,f,g,0.002133595929755457,0.002133595929755457,19.99981122349341
57,fh,0.0004675137619577762,f,h,0.002133595929755457,0.002133595929755457,19.96797475789988
58,fi,0.0005177744184461967,f,i,0.002133595929755457,0.002133595929755457,19.865863881755214
59,fj,0.0005436828551971911,f,j,0.002133595929755457,0.002133595929755457,19.81703745345498
60,ga,0.0005212406824507091,g,a,0.00968324306581323,0.00968324306581323,16.834015473090904
61,gb,0.0005289383310443017,g,b,0.00968324306581323,0.00968324306581323,16.81935552206289
62,gc,0.0004996763352673569,g,c,0.00968324306581323,0.00968324306581323,16.876266811301097
63,gd,0.0005211070113476993,g,d,0.00968324306581323,0.00968324306581323,16.834271953926496
64,ge,0.000451721754201961,g,e,0.00968324306581323,0.00968324306581323,16.97716096841847
65,gf,0.00045286420849300496,g,f,0.00968324306581323,0.00968324306581323,16.97463505060504
66,gg,0.0003788253422151028,g,g,0.00968324306581323,0.00968324306581323,17.153152110268664
67,gh,0.0004812444904190836,g,h,0.00968324306581323,0.00968324306581323,16.91385193359319
68,gi,0.0005534720015087263,g,i,0.00968324306581323,0.00968324306581323,16.774016204227316
69,gj,0.0005582364396968496,g,j,0.00968324306581323,0.00968324306581323,16.765444770960183
70,ha,0.0004623573979594705,h,a,0.0013129821106187428,0.0013129821106187428,20.95008099442847
71,hb,0.00045868638479700354,h,b,0.0013129821106187428,0.0013129821106187428,20.958052456090716
72,hc,0.0004649893563107007,h,c,0.0013129821106187428,0.0013129821106187428,20.944404659430614
73,hd,0.00046872904766142865,h,d,0.0013129821106187428,0.0013129821106187428,20.936394297138257
74,he,0.00042839406684534254,h,e,0.0013129821106187428,0.0013129821106187428,21.026375686191265
75,hf,0.0004675137619577762,h,f,0.0013129821106187428,0.0013129821106187428,20.93899038946328
76,hg,0.0004812444904190836,h,g,0.0013129821106187428,0.0013129821106187428,20.91004373804496
77,hh,0.00015133973151129458,h,h,0.0013129821106187428,0.0013129821106187428,22.066891987913078
78,hi,0.0005347807393289818,h,i,0.0013129821106187428,0.0013129821106187428,20.804562345240033
79,hj,0.0004443890024360861,h,j,0.0013129821106187428,0.0013129821106187428,20.989718864635833
80,ia,0.0006178572967754728,i,a,0.004759560150992942,0.004759560150992942,18.08445307906131
81,ib,0.0006096350173289555,i,b,0.004759560150992942,0.004759560150992942,18.097850152640746
82,ic,0.0006574800794286258,i,c,0.004759560150992942,0.004759560150992942,18.02229613234233
83,id,0.0006538879345815701,i,d,0.004759560150992942,0.004759560150992942,18.027774615564674
84,ie,0.0004990359038006749,i,e,0.004759560150992942,0.004759560150992942,18.298032553820825
85,if,0.0005177744184461967,i,f,0.004759560150992942,0.004759560150992942,18.261170936705337
86,ig,0.0005534720015087263,i,g,0.004759560150992942,0.004759560150992942,18.194499432065804
87,ih,0.0005347807393289818,i,h,0.004759560150992942,0.004759560150992942,18.22885376862676
88,ii,0.0004042049978374442,i,i,0.004759560150992942,0.004759560150992942,18.508788428831647
89,ij,0.0004324069971834263,i,j,0.004759560150992942,0.004759560150992942,18.441343330653854
90,ja,0.0005855952944879454,j,a,0.0019694731659281144,0.0019694731659281144,19.90286003163939
91,jb,0.0005793259107284803,j,b,0.0019694731659281144,0.0019694731659281144,19.913623754131493
92,jc,0.0006235101561431771,j,c,0.0019694731659281144,0.0019694731659281144,19.840123904975336
93,jd,0.0006162998154356119,j,d,0.0019694731659281144,0.0019694731659281144,19.851755400388775
94,je,0.000496764343940065,j,e,0.0019694731659281144,0.0019694731659281144,20.067373202298885
95,jf,0.0005436828551971911,j,f,0.0019694731659281144,0.0019694731659281144,19.977122868802052
96,jg,0.0005582364396968496,j,g,0.0019694731659281144,0.0019694731659281144,19.95070635919562
97,jh,0.0004443890024360861,j,h,0.0019694731659281144,0.0019694731659281144,20.178788648419506
98,ji,0.0004324069971834263,j,i,0.0019694731659281144,0.0019694731659281144,20.2061216910508
99,jj,0.00020091654010982211,j,j,0.0019694731659281144,0.0019694731659281144,20.972599360389484
